Feature,RF_importance,RF_rank,Polynomial_importance,Polynomial_rank,SHAP_importance,SHAP_rank,GPR_ARD_importance,GPR_ARD_rank,Average_rank
Feature16,0.23210345177330483,1.0,0.9105847,6.0,0.02376769145106664,2.0,0.4041393055245391,14.0,5.75
Feature18,0.0184445829841297,9.0,0.89661634,8.0,0.011440837813885689,6.0,2.0948777225982216,2.0,6.25
Feature15,0.06555956000280116,5.0,0.90642637,7.0,0.010748108183809866,7.0,1.043045495831256,8.0,6.75
Feature17,0.2135778473874131,2.0,0.8471462,10.0,0.00979173449644198,10.0,1.2240152384634742,5.0,6.75
Feature11,0.13486264851614949,3.0,1.0386641,2.0,0.005869899223046863,19.0,0.991789294139888,9.0,8.25
Feature4,0.015182878296562759,17.0,0.8217233,11.0,0.011464040143691819,5.0,3.5110269735531587,1.0,8.5
Feature8,0.013808856635087787,19.0,1.0725819,1.0,0.012505575428446415,4.0,0.8891640024451957,10.0,8.5
Feature9,0.013519782857702143,20.0,1.0023142,3.0,0.019250064588462314,3.0,0.4302030619032517,13.0,9.75
Feature3,0.016615183330632288,13.0,0.7460616,13.0,0.010711944387354984,8.0,1.131380179860251,6.0,10.0
Feature6,0.015250817654912032,16.0,0.97249526,4.0,0.007650529627649879,13.0,0.7826652325408292,11.0,11.0
Feature14,0.017427279789495063,11.0,0.5567945,15.0,0.006709305589259505,16.0,1.999621990439339,3.0,11.25
Feature10,0.013442469769178495,21.0,0.9617332,5.0,0.028576824380833823,1.0,0.011160985382508528,19.0,11.5
Feature20,0.07194587112188726,4.0,0.44578052,19.0,0.006286636054088982,18.0,1.0466067193527255,7.0,12.0
Feature2,0.015591130503049182,14.0,0.69678664,14.0,0.006642037760463306,17.0,1.752498281552993,4.0,12.25
Feature13,0.0190221174249996,8.0,0.5032204,16.0,0.00690591662563141,15.0,0.4972197678011394,12.0,12.75
Feature7,0.015513316963904905,15.0,0.87547415,9.0,0.01022354840910945,9.0,0.010983503280480894,20.0,13.25
Feature19,0.023657657629826093,7.0,0.4952348,18.0,0.007974494367799708,12.0,0.20464975684549527,18.0,13.75
Feature1,0.017249828244280684,12.0,0.49889177,17.0,0.007073127185109721,14.0,0.3269237328677503,16.0,14.75
Feature5,0.014556470719041238,18.0,0.74687994,12.0,0.008784317288792257,11.0,0.009999999999999995,21.0,15.5
Feature12,0.034745303377304124,6.0,0.3154463,21.0,0.004846660487382906,20.0,0.3442432129781239,15.0,15.5
Feature0,0.017922945018338167,10.0,0.437651,20.0,0.004385934830470433,21.0,0.29872432080758615,17.0,17.0
